0.000000 1.400000 2.408000
0.200000 1.881600 3.055116
0.400000 2.492623 3.742612
0.600000 3.241146 4.381286
0.800000 4.117403 4.844205
1.000000 5.086244 4.998512
1.200000 6.085946 4.764144
1.400000 7.038775 4.168679
1.600000 7.872511 3.349736
1.800000 8.542458 2.490198
2.000000 9.040498 1.734875
2.200000 9.387473 1.150016
2.400000 9.617476 0.735783
2.600000 9.764633 0.459655
2.800000 9.856564 0.282758
3.000000 9.913115 0.172260
3.200000 9.947567 0.104316
3.400000 9.968430 0.062940
3.600000 9.981018 0.037891
3.800000 9.988597 0.022781
4.000000 9.993153 0.013685
4.200000 9.995890 0.008217
4.400000 9.997533 0.004932
4.600000 9.998520 0.002960
4.800000 9.999112 0.001776
5.000000 9.999467 0.001066
5.200000 9.999680 0.000640
5.400000 9.999808 0.000384
5.600000 9.999885 0.000230
5.800000 9.999931 0.000138
6.000000 9.999959 0.000083
6.200000 9.999975 0.000050
6.400000 9.999985 0.000030
6.600000 9.999991 0.000018
6.800000 9.999995 0.000011
7.000000 9.999997 0.000006
7.200000 9.999998 0.000004
7.400000 9.999999 0.000002
7.600000 9.999999 0.000001
7.800000 10.000000 0.000001
8.000000 10.000000 0.000001
8.200000 10.000000 0.000000
8.400000 10.000000 0.000000
8.600000 10.000000 0.000000
8.800000 10.000000 0.000000
9.000000 10.000000 0.000000
9.200000 10.000000 0.000000
9.400000 10.000000 0.000000
9.600000 10.000000 0.000000
9.800000 10.000000 0.000000
10.000000 10.000000 0.000000
